   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,1172804,4.872
  ,Pb,207,990962,4.8
  ,Pb,208,2511714,4.7
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1272056.063,,
Pb,207,1075667.638,,
Pb,208,2728052.793,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1245355.772,,
Pb,207,1051237.062,,
Pb,208,2647957.472,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1228772.091,,
Pb,207,1038062.838,,
Pb,208,2626133.102,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1212000.453,,
Pb,207,1020322.269,,
Pb,208,2586419.466,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1187111.962,,
Pb,207,996955.562,,
Pb,208,2539623.216,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1168904.764,,
Pb,207,990003.63,,
Pb,208,2518268.812,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1161010.85,,
Pb,207,983967.311,,
Pb,208,2487355.7,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1148822.225,,
Pb,207,971290.022,,
Pb,208,2467434.548,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1128402.704,,
Pb,207,956117.55,,
Pb,208,2407047.144,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1116752.851,,
Pb,207,946560.09,,
Pb,208,2393765.154,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1110117.139,,
Pb,207,936869.088,,
Pb,208,2383840.645,,
Analyte,Mass,Meas. Intensity,,
Pb,206,1094338.739,,
Pb,207,924489.991,,
Pb,208,2354664.893,,
Sample ID:,C3_min63_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 14:12:45",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,716329,4.731
  ,Pb,207,601032,4.741
  ,Pb,208,1531414,4.549
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,780967.783,,
Pb,207,657560.577,,
Pb,208,1664003.223,,
Analyte,Mass,Meas. Intensity,,
Pb,206,764695.136,,
Pb,207,639376.068,,
Pb,208,1633256.257,,
Analyte,Mass,Meas. Intensity,,
Pb,206,746691.096,,
Pb,207,628370.28,,
Pb,208,1598538.783,,
Analyte,Mass,Meas. Intensity,,
Pb,206,735386.385,,
Pb,207,616067.594,,
Pb,208,1564676.93,,
Analyte,Mass,Meas. Intensity,,
Pb,206,722586.355,,
Pb,207,603472.85,,
Pb,208,1536473.846,,
Analyte,Mass,Meas. Intensity,,
Pb,206,711165.899,,
Pb,207,596726.171,,
Pb,208,1523927.024,,
Analyte,Mass,Meas. Intensity,,
Pb,206,698494.388,,
Pb,207,587018.153,,
Pb,208,1500156.845,,
Analyte,Mass,Meas. Intensity,,
Pb,206,696782.699,,
Pb,207,585463.852,,
Pb,208,1486695.657,,
Analyte,Mass,Meas. Intensity,,
Pb,206,690462.576,,
Pb,207,579199.75,,
Pb,208,1481706.351,,
Analyte,Mass,Meas. Intensity,,
Pb,206,687029.297,,
Pb,207,574151.716,,
Pb,208,1466161.387,,
Analyte,Mass,Meas. Intensity,,
Pb,206,683796.211,,
Pb,207,572296.197,,
Pb,208,1464098.194,,
Analyte,Mass,Meas. Intensity,,
Pb,206,677890.544,,
Pb,207,572684.495,,
Pb,208,1457276.142,,
Sample ID:,C4_min63_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 14:26:58",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,608198,8.442
  ,Pb,207,511271,8.394
  ,Pb,208,1306776,8.487
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,715572.333,,
Pb,207,599842.85,,
Pb,208,1540016.9,,
Analyte,Mass,Meas. Intensity,,
Pb,206,675145.029,,
Pb,207,568028.892,,
Pb,208,1453622.185,,
Analyte,Mass,Meas. Intensity,,
Pb,206,653816.147,,
Pb,207,549236.135,,
Pb,208,1398732.34,,
Analyte,Mass,Meas. Intensity,,
Pb,206,630457.212,,
Pb,207,531300.592,,
Pb,208,1353716.854,,
Analyte,Mass,Meas. Intensity,,
Pb,206,611767.92,,
Pb,207,513018.185,,
Pb,208,1318074.19,,
Analyte,Mass,Meas. Intensity,,
Pb,206,603972.286,,
Pb,207,507474.219,,
Pb,208,1295324.612,,
Analyte,Mass,Meas. Intensity,,
Pb,206,584929.434,,
Pb,207,494034.81,,
Pb,208,1261225.703,,
Analyte,Mass,Meas. Intensity,,
Pb,206,574939.338,,
Pb,207,484150.041,,
Pb,208,1233381.018,,
Analyte,Mass,Meas. Intensity,,
Pb,206,570219.525,,
Pb,207,478381.153,,
Pb,208,1228946.373,,
Analyte,Mass,Meas. Intensity,,
Pb,206,564153.709,,
Pb,207,474649.661,,
Pb,208,1211537.669,,
Analyte,Mass,Meas. Intensity,,
Pb,206,561537.666,,
Pb,207,472946.547,,
Pb,208,1200946.848,,
Analyte,Mass,Meas. Intensity,,
Pb,206,551862.131,,
Pb,207,462189.498,,
Pb,208,1185787.534,,
Sample ID:,SRM981_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 14:40:47",,,
Intensities,,,,
   ,Analyte,Mass,Meas. Intens. Mean,Meas. Intens. RSD
  ,Pb,206,389954,1.618
  ,Pb,207,360658,1.423
  ,Pb,208,874890,1.299
Replicates,,,,
Analyte,Mass,Meas. Intensity,,
Pb,206,379144.607,,
Pb,207,352139.784,,
Pb,208,852871.909,,
Analyte,Mass,Meas. Intensity,,
Pb,206,383157.75,,
Pb,207,353940.684,,
Pb,208,860209.715,,
Analyte,Mass,Meas. Intensity,,
Pb,206,384126.274,,
Pb,207,358088.741,,
Pb,208,869821.338,,
Analyte,Mass,Meas. Intensity,,
Pb,206,384959.766,,
Pb,207,357567.541,,
Pb,208,869333.067,,
Analyte,Mass,Meas. Intensity,,
Pb,206,392420.775,,
Pb,207,361096.256,,
Pb,208,876032.926,,
Analyte,Mass,Meas. Intensity,,
Pb,206,387643.166,,
Pb,207,359154.278,,
Pb,208,871695.599,,
Analyte,Mass,Meas. Intensity,,
Pb,206,388868.834,,
Pb,207,359548.487,,
Pb,208,872988.223,,
Analyte,Mass,Meas. Intensity,,
Pb,206,393117.161,,
Pb,207,362210.818,,
Pb,208,878400.812,,
Analyte,Mass,Meas. Intensity,,
Pb,206,393507.424,,
Pb,207,362190.869,,
Pb,208,882574.199,,
Analyte,Mass,Meas. Intensity,,
Pb,206,395393.414,,
Pb,207,366774.154,,
Pb,208,888529.336,,
Analyte,Mass,Meas. Intensity,,
Pb,206,399816.874,,
Pb,207,364937.213,,
Pb,208,883527.131,,
Analyte,Mass,Meas. Intensity,,
Pb,206,397290.639,,
Pb,207,370243.129,,
Pb,208,892701.471,,
Sample ID:,C5_min63_1a10,,,
Sample Date/Time:,"Monday, November 30, 2015 14:55:00",,,
Intensities,,,,
